Field,FieldValue,Year,AG,AI,AR,BE,BL,BS,FR,GE,GL,GR,JU,LU,NE,NW,OW,SG,SH,SO,SZ,TG,TI,UR,VD,VS,ZG,ZH,BA,CH
art,internet,2014,2,0,0,3,0,0,0,5,0,2,0,0,0,0,0,1,1,0,1,1,1,0,1,0,0,11,9,38
art,post,2014,5,0,0,2,9,0,8,0,0,0,0,0,8,0,0,6,0,0,0,2,0,0,14,0,0,0,2,56
art,telefon,2014,1140,4,5,855,498,197,414,1927,3,69,159,169,289,28,55,606,30,165,51,648,1378,0,1658,255,59,2250,530,13442
art,notsuche,2014,59,1,0,27,5,1,10,57,2,17,5,16,10,7,8,11,0,10,14,21,24,1,37,49,3,64,2,461
art,antennensuchlauf,2014,9,0,0,9,15,0,3,11,0,0,0,0,0,9,0,0,0,11,0,0,0,0,6,0,0,30,19,122
technologie,festnetz,2014,18,0,0,22,8,6,2,61,0,4,5,12,4,0,0,18,0,8,2,4,16,0,38,4,11,96,26,365
technologie,internet,2014,2,0,0,3,0,0,0,5,0,2,0,0,0,0,0,1,1,0,1,1,1,0,1,0,0,11,9,38
technologie,mobil,2014,1208,5,5,891,518,198,427,1995,5,86,164,185,299,44,63,617,30,186,65,669,1402,1,1701,304,62,2344,551,14025
technologie,post,2014,5,0,0,2,9,0,8,0,0,0,0,0,8,0,0,6,0,0,0,2,0,0,14,0,0,0,2,56
typ,aktiv,2014,165,0,1,185,117,19,81,567,3,18,57,44,70,3,3,206,8,38,10,50,223,0,481,62,35,770,329,3545
typ,vds,2014,552,4,2,366,174,78,332,1268,2,55,55,124,185,32,41,277,18,74,34,128,397,0,1013,177,33,786,170,6377
typ,techadm,2014,516,1,2,367,244,107,24,226,0,19,57,29,56,9,19,159,5,82,24,498,799,1,260,69,5,895,89,4562
deliktegruppe,buepf,2014,181,1,0,89,25,99,35,277,2,22,40,19,19,7,8,22,0,50,24,505,81,1,91,80,10,738,12,2438
deliktegruppe,diverse,2014,138,4,0,132,26,11,25,232,0,0,5,8,38,2,6,83,0,9,5,40,103,0,137,15,0,56,1,1076
deliktegruppe,drogen,2014,218,0,3,301,218,30,238,569,2,26,60,53,191,0,41,237,23,20,12,30,528,0,868,117,35,853,29,4702
deliktegruppe,drohung,2014,21,0,0,51,39,1,3,73,1,9,0,10,3,1,0,5,0,16,1,0,106,0,34,3,0,63,8,448
deliktegruppe,finanz,2014,14,0,0,3,3,0,2,54,0,0,0,6,0,0,0,8,0,0,0,3,130,0,41,4,1,52,174,495
deliktegruppe,gewalt,2014,82,0,0,52,29,6,11,265,0,0,0,5,8,34,0,7,0,3,17,2,74,0,47,17,0,195,19,873
deliktegruppe,oeFrieden,2014,0,0,0,15,4,0,2,29,0,0,0,13,11,0,5,15,0,2,2,12,14,0,23,2,2,23,279,453
deliktegruppe,sex,2014,10,0,0,24,2,1,3,50,0,0,9,4,0,0,0,36,0,10,2,9,30,0,6,2,0,45,0,243
deliktegruppe,staat,2014,44,0,0,5,10,9,7,39,0,6,11,0,0,0,0,1,0,0,0,11,89,0,64,0,12,35,55,398
deliktegruppe,vermoegen,2014,525,0,2,246,179,47,111,473,0,29,44,79,41,0,3,228,8,84,5,64,264,0,442,68,13,391,11,3357
schwerestraftaten,paedo,2014,2,0,0,1,1,0,0,2,0,0,0,0,0,0,0,37,0,0,0,8,4,0,1,0,0,22,0,78
schwerestraftaten,krimorg,2014,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,6,0,15,0,0,0,297,321
schwerestraftaten,terror,2014,0,0,0,13,1,0,2,17,0,0,0,13,11,0,5,15,0,2,2,12,3,0,5,2,0,20,0,123
schwerestraftaten,menschenhandel,2014,0,0,0,19,0,1,0,14,0,9,0,10,0,0,0,0,0,11,0,0,27,0,0,0,0,8,0,99
schwerestraftaten,nachrichtendienst,2014,10,0,0,0,3,9,7,5,0,6,10,0,0,0,0,0,0,0,0,7,0,0,1,0,0,23,0,81
schwerestraftaten,geldwaesche,2014,53,0,0,7,13,0,2,63,0,0,0,6,0,0,0,8,0,0,0,0,96,0,134,6,0,104,200,692
schwerestraftaten,paedo_prozent,2014,"0,2",0,0,"0,1","0,2",0,0,"0,1",0,0,0,0,0,0,0,"5,8",0,0,0,"1,2","0,3",0,"0,1",0,0,"0,9",0,"0,5"
schwerestraftaten,krimorg_prozent,2014,0,0,0,0,0,0,0,"0,1",0,0,0,0,0,0,0,0,0,0,0,0,"0,4",0,"0,9",0,0,0,"50,5","2,2"
schwerestraftaten,terror_prozent,2014,0,0,0,"1,4","0,2",0,"0,5","0,8",0,0,0,"6,6","3,5",0,"7,9","2,3",0,1,"2,9","1,8","0,2",0,"0,3","0,6",0,"0,8",0,"0,8"
schwerestraftaten,menschenhandel_prozent,2014,0,0,0,"2,1",0,"0,5",0,"0,7",0,"9,8",0,"5,1",0,0,0,0,0,"5,7",0,0,"1,9",0,0,0,0,"0,3",0,"0,7"
schwerestraftaten,nachrichtendienst_prozent,2014,"0,8",0,0,0,"0,6","4,4","1,6","0,2",0,"6,5","5,9",0,0,0,0,0,0,0,0,1,0,0,"0,1",0,0,"0,9",0,"0,6"
schwerestraftaten,geldwaesche_prozent,2014,"4,3",0,0,"0,8","2,4",0,"0,5","3,1",0,0,0,3,0,0,0,"1,2",0,0,0,0,"6,8",0,"7,6","1,9",0,"4,2",34,"4,8"
typ,telefonbuch,2014,8913,381,303,18667,4002,3022,10810,19401,381,4394,1563,3400,5539,828,324,6635,784,3591,2867,3303,18688,77,20262,5521,1637,34337,18471,198101
kanton,kosten,2014,944710,3350,5250,843980,470550,137330,415230,2369150,8880,87380,199150,201590,304190,33180,41560,742860,33230,175510,56150,387770,1106440,550,1962390,295800,110090,2747960,961970,14646200
typ,telefonbuch,2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,190866
typ,telefonbuch,2011,,,,,,,,,,,,,,,,,,,,,,,,,,,,175504
typ,telefonbuch,2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,202579
typ,telefonbuch,2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,191010
